mainDN,branchDN,D,D1,s,L,L1
# DN20 main
20,20,110,110,70,1100,712
# DN25 main
25,20,110,110,70,1100,730
25,25,110,110,70,1100,730
# DN32 main
32,20,125,110,70,1100,750
32,32,125,125,70,1100,730
32,80,125,180,70,1100,755
32,150,125,280,70,1100,805
32,300,125,450,70,1100,915
32,350,125,560,70,1100,980
# DN40 main
40,25,125,110,70,1100,720
40,40,125,125,70,1100,730
# DN50 main
50,20,140,110,70,1100,780
50,25,140,110,70,1100,790
50,40,140,125,70,1100,810
50,50,140,140,70,1100,850
# DN65 main
65,20,160,110,70,1100,800
65,25,160,110,70,1100,820
65,32,160,125,70,1100,880
65,50,160,140,70,1100,890
65,65,160,160,70,1100,920
# DN80 main
80,20,180,110,70,1100,880
80,32,180,125,70,1100,910
80,80,180,180,70,1200,800
80,150,180,280,70,1200,850
80,300,180,450,70,1200,950
80,350,180,560,70,1200,1000
# DN100 main
100,20,225,110,70,1100,950
100,25,225,110,70,1100,960
100,32,225,125,70,1100,980
100,80,225,180,70,1200,800
100,100,225,225,70,1200,800
100,150,225,280,70,1200,850
100,300,225,450,70,1200,950
100,350,225,560,70,1100,950
100,400,225,630,70,1200,1000
# DN125 main
125,20,250,110,70,1100,1020
125,25,250,110,70,1100,1030
125,32,250,125,70,1100,1050
125,100,250,225,70,1200,800
125,125,250,250,70,1300,850
125,200,250,355,70,1300,900
125,300,250,500,70,1300,1000
125,350,250,560,70,1300,1050
# DN150 main
150,32,280,125,70,1100,1130
150,80,280,180,70,1200,1200
150,100,280,225,70,1200,850
150,125,280,250,70,1300,850
150,150,280,280,70,1300,850
150,250,280,450,70,1300,900
150,300,280,500,70,1300,1000
150,350,280,560,70,1300,1050
# DN200 main
200,20,355,110,70,1100,1200
200,25,355,110,70,1100,1210
200,32,355,125,70,1100,1230
200,100,355,225,70,1200,1000
200,125,355,250,70,1300,1200
200,150,355,280,70,1400,1350
200,200,355,355,70,1400,1000
200,250,355,450,70,1400,1000
200,350,355,560,70,1400,1100
# DN250 main
250,200,450,355,70,1500,1100
250,250,450,450,70,1500,1100
# DN300 main
300,250,500,450,70,1600,1150
300,300,500,500,70,1600,1150
# DN350 main
350,20,560,110,70,1100,1500
350,25,560,110,70,1100,1510
350,32,560,125,70,1100,1530
350,40,560,125,70,1100,1530
350,50,560,140,70,1200,1540
350,65,560,160,70,1200,1570
350,80,560,180,70,1200,1600
350,100,560,225,70,1300,1650
350,125,560,250,70,1300,1680
350,150,560,280,70,1400,1750
350,200,560,355,70,1500,1800
350,250,560,450,70,1600,1900
350,300,560,500,70,1700,2000
350,350,560,560,70,1700,1350
# DN400 main
400,400,630,630,70,1700,1350

