;DN##length##millimeters;S##length##millimeters;Ca##length##millimeters;L##length##millimeters
20;20;1;240;1500
20;20;2;260;1500
20;20;3;275;1500
25;25;1;240;1500
25;25;2;260;1500
25;25;3;275;1500
32;32;1;260;1500
32;32;2;275;1500
32;32;3;290;1500
40;40;1;260;1500
40;40;2;275;1500
40;40;3;290;1500
50;50;1;275;1500
50;50;2;290;1500
50;50;3;310;1500
65;65;1;290;1500
65;65;2;310;1500
65;65;3;330;1500
80;80;1;310;1600
80;80;2;330;1600
80;80;3;350;1600
100;100;1;350;1600
100;100;2;375;1600
100;100;3;400;1600
125;125;1;375;1700
125;125;2;400;1700
125;125;3;530;1700
150;150;1;400;1900
150;150;2;530;1900
150;150;3;565;1900
200;200;1;565;1900
200;200;2;605;1900
200;200;3;650;1900
250;250;1;650;2100
250;250;2;700;2100
250;250;3;750;2100
